Código;DEPARTAMENTOS;Población Menor 1 año (Meta;BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS);;HB RECIEN NACIDO (HASTA 29 DÍAS);;"ANTIPOLIO INACTIVADA (VIP) PARENTERAL
<  DE 1 AÑO";;VOP <DE1 AÑO + VIP <1AÑO 3as;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS;;ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS;;FLU DE 6 MESES A 11 MESES ;;FLU DE 6 MESES A 11 MESES ;;Neumo (2 a 11 Meses 29 Dias);;Neumo (2 a 11 Meses 29 Dias);;Población de 1 Año (Meta;SRP (T.V.) DE UN AÑO;;"VARICELA DE 1 AÑO
1a";;F.A. 1 AÑO;;Neumo de (12 meses a 23 Meses);;Neumo de (12-23 Meses);;Neumo de (12-23 Meses);Neumo de (24- 35 Meses);"HA
1 AÑO";;VOP Al año de la 3ra Dosis;;DPT Al año de la 3ra Dosis;;Población 5 años (Meta;VOP 5 AÑOS;;DPT 5 AÑOS;;SRP (T.V.) 5 AÑOS;;FLU de 19 a 49 años ÚNICA;FLU de 50 años y más;Gestantes a partir de la semana 14;TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS  ;;;TOTAL DOSIS
;DEPARTAMENTOS;Programática);Dosis Unica;%;D. Unica;%;1ras. Dosis;%;3.Dosis;%;1ras. Dosis;%;2das. Dosis;%;3ras .Dosis;%;1ra Dosis;%;2da Dosis;%;1ra Dosis;%;2da Dosis;%;1ra Dosis;%;2da Dosis;%;Programática );U.Dósis;%;U.Dósis;%;U.Dósis;%;REF.;%;1ra Dosis;%;2da Dosis;Dosis Unica;U. Dósis;%;1er. Ref.;%;1er. Ref.;%;Programática);2do. Ref.;%;2do. Ref.;%;Ref.;%;UNICA;UNICA;UNICA;UNICA DOSIS EN CADA EMBARAZO;%;REGION;
91;AMAZONAS; 1,802 ;1,503;83.40;1,368;75.90;1,560;86.60;1,445;80.20;1,557;86.40;1,513;84.00;1,444;80.10;1,424;79.00;1,448;80.40;1,419;105.00; 1,070 ;79.20;1,545;85.70;1,503;83.40; 1,845 ;1,575;85.40;1,563;84.70;1,869;101.30;1,547;83.80;8;0.43;26;47;1,582;85.70;1,517;82.20;1,517;82.20;1,831;1,478; 80.7 ;1,478; 80.7 ;1,468; 80.2 ;1,441;2,178;847;1,077;59.8;AMAZONIA; 38,940 
05;ANTIOQUIA; 78,411 ;75,215;95.90;74,126;94.50;75,821;96.70;73,969;94.30;75,935;96.80;75,375;96.10;74,329;94.80;74,104;94.50;73,897;94.20;56,768;96.50; 42,336 ;72.00;73,013;93.10;68,259;87.10; 79,793 ;76,176;95.50;75,795;95.00;61,520;77.10;69,229;86.80;480;0.60;474;1176;76,361;95.70;70,175;87.90;70,546;88.40;85,022;73,860; 86.9 ;73,294; 86.2 ;73,823; 86.8 ;34,355;228,344;54,930;65,742;83.8;ANDINA; 1,953,685 
81;ARAUCA; 4,272 ;4,415;103.30;4,331;101.40;4,651;108.90;4,500;105.30;4,646;108.80;4,615;108.00;4,499;105.30;4,471;104.70;4,485;105.00;2,922;91.20; 2,296 ;71.70;4,715;110.40;4,511;105.60; 4,430 ;4,537;102.40;4,496;101.50;5,161;116.50;4,418;99.70;42;0.95;69;86;4,585;103.50;4,002;90.30;4,001;90.30;4,907;4,520; 92.1 ;4,523; 92.2 ;4,522; 92.2 ;2,356;3,169;2,750;3,628;84.9;LLANOS; 108,294 
08;ATLANTICO; 20,672 ;20,653;99.90;18,857;91.20;19,610;94.90;20,551;99.40;19,555;94.60;20,019;96.80;20,610;99.70;19,345;93.60;19,803;95.80;13,271;85.60; 7,393 ;47.70;18,180;87.90;18,103;87.60; 21,016 ;21,391;101.80;20,701;98.50;19,229;91.50;18,776;89.30;141;0.67;188;382;21,158;100.70;20,131;95.80;20,497;97.50;21,547;20,083; 93.2 ;21,028; 97.6 ;20,761; 96.4 ;12,536;10,678;9,073;12,954;62.7;CARIBE; 472,703 
08001;BARRANQUILLA; 21,907 ;22,270;101.70;21,851;99.70;21,771;99.40;21,238;96.90;21,840;99.70;21,341;97.40;21,305;97.30;21,570;98.50;21,068;96.20;18,632;113.40; 12,802 ;77.90;21,952;100.20;20,979;95.80; 21,875 ;21,552;98.50;20,833;95.20;16,019;73.20;21,166;96.80;107;0.49;57;164;21,560;98.60;20,293;92.80;20,324;92.90;22,745;19,112; 84.0 ;19,171; 84.3 ;19,158; 84.2 ;3,729;24,640;14,731;17,536;80.0;CARIBE; 511,235 
11;BOGOTA D.C.; 105,191 ;112,338;106.80;112,126;106.60;99,815;94.90;100,535;95.60;99,870;94.90;100,891;95.90;100,560;95.60;98,863;94.00;99,995;95.10;84,894;107.60; 60,130 ;76.20;100,029;95.10;100,161;95.20; 105,341 ;100,342;95.30;99,127;94.10;81,932;77.80;98,761;93.80;235;0.22;409;654;100,471;95.40;91,104;86.50;91,351;86.70;108,208;93,218; 86.1 ;90,629; 83.8 ;92,039; 85.1 ;64,269;329,351;71,240;91,905;87.4;ANDINA; 2,675,339 
13;BOLIVAR; 22,708 ;11,559;50.90;10,915;48.10;17,583;77.40;18,024;79.40;17,741;78.10;18,040;79.40;18,078;79.60;17,068;75.20;17,307;76.20;15,545;91.30; 10,382 ;61.00;17,105;75.30;17,200;75.70; 22,993 ;18,803;81.80;17,860;77.70;14,041;61.10;18,125;78.80;128;0.56;188;524;18,918;82.30;18,894;82.20;18,970;82.50;22,474;19,305; 85.9 ;19,314; 85.9 ;19,148; 85.2 ;10,608;22,827;12,255;13,822;60.9;CARIBE; 436,455 
13001;CARTAGENA; 19,368 ;19,203;99.10;19,034;98.30;18,169;93.80;17,234;89.00;18,189;93.90;17,869;92.30;17,222;88.90;17,656;91.20;17,533;90.50;14,309;98.50; 11,362 ;78.20;17,343;89.50;16,745;86.50; 19,587 ;18,020;92.00;17,600;89.90;13,487;68.90;16,160;82.50;56;0.29;166;208;18,088;92.30;15,702;80.20;15,741;80.40;18,768;15,267; 81.3 ;15,258; 81.3 ;15,479; 82.5 ;4,708;16,252;15,040;15,013;77.5;CARIBE; 419,100 
15;BOYACA; 16,432 ;15,612;95.00;15,461;94.10;15,677;95.40;15,359;93.50;15,720;95.70;15,354;93.40;15,370;93.50;15,636;95.20;15,304;93.10;14,015;113.70; 11,921 ;96.70;15,722;95.70;15,326;93.30; 16,748 ;15,724;93.90;15,596;93.10;14,089;84.10;15,541;92.80;66;0.39;38;68;15,745;94.00;15,242;91.00;15,257;91.10;18,801;16,846; 89.6 ;16,833; 89.5 ;16,834; 89.5 ;5,604;47,547;12,258;13,626;82.9;ANDINA; 419,765 
