;;;Población Menor 1 año (Meta;BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS);;HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Primeras 12 Horas);;HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Despues de las Primeras 12 Horas);;HB RECIEN NACIDO (HASTA 29 DÍAS) (Primeras 12 Horas)+ Despues de las primeras 12 horas;;"ANTIPOLIO INACTIVADA (VIP) PARENTERAL
<  DE 1 AÑO";;VOP <DE1 AÑO + VIP <1AÑO 3as;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS;;ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS;;FLU DE 6 MESES A 11 MESES ;;FLU DE 6 MESES A 11 MESES ;;Neumo (2 a 11 Meses 29 Dias);;Neumo (2 a 11 Meses 29 Dias);;Población de 1 Año (Meta;SRP (T.V.) DE UN AÑO;;"VARICELA DE 1 AÑO
1a";;F.A. 1 AÑO;;Neumo de (12 meses a 23 Meses);;Neumo de (12-23 Meses);;Neumo de (12-23 Meses);Neumo de (24- 35 Meses);"HA
1 AÑO";;VOP Al año de la 3ra Dosis;;DPT Al año de la 3ra Dosis;;Población 5 años (Meta;VOP 5 AÑOS;;DPT 5 AÑOS;;SRP (T.V.) 5 AÑOS;;FLU de 19 a 49 años ÚNICA;FLU de 50 años y más;Gestantes a partir de la semana 14;TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS  ;;VPH;;;;
;Código;DEPARTAMENTOS;Programática);Dosis Unica;%;D. Unica;%;D. Unica;%;D. Unica;%;1ras. Dosis;%;3.Dosis;%;1ras. Dosis;%;2das. Dosis;%;3ras .Dosis;%;1ra Dosis;%;2da Dosis;%;1ra Dosis;%;2da Dosis;%;1ra Dosis;%;2da Dosis;%;Programática );U.Dósis;%;U.Dósis;%;U.Dósis;%;REF.;%;1ra Dosis;%;2da Dosis;Dosis Unica;U. Dósis;%;1er. Ref.;%;1er. Ref.;%;Programática);2do. Ref.;%;2do. Ref.;%;Ref.;%;UNICA;UNICA;UNICA;UNICA DOSIS EN CADA EMBARAZO;%;Pob. VPH Niñas de 9 años;1a;%;2a;REGION
91;91;AMAZONAS; 1,700 ;1,510;88.80;1,064;62.60;307;18.10;1,371;80.60;1,482;87.20;1,422;83.60;1,482;87.20;1,454;85.50;1,429;84.06;1,374;80.80;1,382;81.30;1,364;107.00; 1,107 ;86.80;1,477;86.90;1,459;85.80; 1,761 ;1,550;88.00;1,515;86.00;1,579;89.70;1,541;87.50;5;0.28;21;24;1,850;105.10;1,374;78.00;1,375;78.10;1,976;1,390; 70.3 ;1,388; 70.2 ;1,385; 70.1 ;1,481;1,621;870;1,093;64.3;635;401;63.1;78;AMAZONIA
05;05;ANTIOQUIA; 78,215 ;74,320;95.00;51,232;65.50;22,370;28.60;73,602;94.10;74,066;94.70;73,627;94.10;74,116;94.80;74,138;94.80;73,535;94.02;70,602;90.30;71,135;90.90;67,178;114.50; 53,732 ;91.60;74,727;95.50;74,348;95.10; 80,134 ;76,809;95.85;76,708;95.70;68,839;85.90;75,827;94.60;670;0.84;1007;3082;78,374;97.80;69,119;86.30;69,072;86.20;85,619;73,528; 85.9 ;73,627; 86.0 ;74,051; 86.5 ;56,905;271,960;59,589;65,047;83.2;45,931;17,881;38.9;5,534;ANDINA
81;81;ARAUCA; 4,526 ;5,195;114.80;5,050;111.60;37;0.80;5,087;112.40;5,005;110.60;4,843;107.00;5,008;110.60;4,909;108.50;4,846;107.07;4,868;107.60;4,725;104.40;4,138;121.90; 3,075 ;90.60;5,153;113.90;4,940;109.10; 4,629 ;4,997;107.90;5,041;108.90;5,120;110.60;4,852;104.80;178;3.85;176;382;5,095;110.10;4,348;93.90;4,346;93.90;4,950;4,471; 90.3 ;4,497; 90.8 ;4,491; 90.7 ;3,214;4,627;2,990;4,181;92.4;2,340;954;40.8;259;LLANOS
08;08;ATLANTICO; 20,676 ;20,272;98.00;19,171;92.70;258;1.20;19,429;94.00;19,795;95.70;21,146;102.30;19,715;95.40;19,993;96.70;21,135;102.22;19,087;92.30;20,848;100.80;17,941;115.70; 11,704 ;75.50;19,081;92.30;20,741;100.30; 21,092 ;21,438;101.60;21,677;102.80;20,094;95.30;21,105;100.10;369;1.75;792;475;21,599;102.40;19,874;94.20;19,930;94.50;21,627;20,911; 96.7 ;20,898; 96.6 ;20,960; 96.9 ;15,660;14,718;14,210;16,064;77.7;8,898;1,036;11.6;133;CARIBE
08001;08001;BARRANQUILLA; 21,732 ;21,589;99.30;20,502;94.30;1,086;5.00;21,588;99.30;21,352;98.30;20,957;96.40;21,321;98.10;20,980;96.50;21,058;96.90;21,271;97.90;20,811;95.80;20,227;124.10; 14,064 ;86.30;21,715;99.90;21,330;98.20; 21,844 ;22,021;100.80;21,720;99.40;21,025;96.30;21,502;98.40;347;1.59;331;673;22,076;101.10;20,985;96.10;21,087;96.50;23,376;22,355; 95.6 ;22,370; 95.7 ;22,347; 95.6 ;7,867;31,279;16,584;17,656;81.2;9,670;865;8.9;78;CARIBE
11;11;BOGOTA D.C.; 104,937 ;101,990;97.20;75,377;71.80;26,741;25.50;102,118;97.30;88,109;84.00;90,247;86.00;87,999;83.90;89,256;85.10;90,293;86.04;86,624;82.50;87,097;83.00;61,012;77.50; 44,525 ;56.60;89,852;85.60;90,885;86.60; 105,191 ;94,619;89.90;95,189;90.50;84,108;80.00;92,243;87.70;2692;2.56;1807;5438;96,110;91.40;85,234;81.00;85,283;81.10;106,379;93,458; 87.9 ;93,544; 87.9 ;94,598; 88.9 ;207,113;276,157;58,709;83,019;79.1;51,129;9,312;18.2;1,669;ANDINA
13;13;BOLIVAR; 21,390 ;10,641;49.70;10,038;46.90;155;0.70;10,193;47.70;18,532;86.60;18,825;88.00;18,391;86.00;18,660;87.20;18,767;87.74;17,806;83.20;17,887;83.60;17,900;111.60; 13,075 ;81.50;18,754;87.70;19,065;89.10; 21,923 ;20,020;91.30;19,970;91.10;16,338;74.50;19,829;90.40;294;1.34;315;559;20,188;92.10;17,751;81.00;17,907;81.70;22,577;18,549; 82.2 ;18,859; 83.5 ;18,407; 81.5 ;6,944;19,406;14,316;15,716;73.5;9,645;1,681;17.4;275;CARIBE
13001;13001;CARTAGENA; 19,368 ;19,157;98.90;19,042;98.30;112;0.60;19,154;98.90;18,117;93.50;17,605;90.90;18,207;94.00;18,095;93.40;17,604;90.89;17,534;90.50;17,398;89.80;15,277;105.20; 11,695 ;80.50;19,612;101.30;18,949;97.80; 19,588 ;19,222;98.10;19,048;97.20;15,356;78.40;19,055;97.30;463;2.36;728;660;20,408;104.20;15,373;78.50;15,394;78.60;19,239;16,901; 87.8 ;16,911; 87.9 ;17,150; 89.1 ;11,426;25,534;16,258;15,634;80.7;8,786;968;11.0;138;CARIBE
15;15;BOYACA; 14,411 ;13,822;95.90;13,041;90.50;696;4.80;13,737;95.30;14,420;100.10;14,643;101.60;14,422;100.10;14,452;100.30;14,639;101.58;14,301;99.20;14,350;99.60;13,105;121.20; 12,075 ;111.70;14,445;100.20;14,489;100.50; 15,751 ;15,240;96.80;15,221;96.60;14,912;94.70;15,164;96.30;71;0.45;71;79;15,264;96.90;14,863;94.40;14,860;94.30;17,908;16,570; 92.5 ;16,569; 92.5 ;16,603; 92.7 ;13,573;51,104;12,098;12,577;87.3;9,914;3,568;36.0;976;ANDINA
