;;;BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS);;HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Primeras 12 Horas);;HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Despues de las Primeras 12 Horas);;HB RECIEN NACIDO (HASTA 29 DÍAS) (Primeras 12 Horas)+ Despues de las primeras 12 horas;;"ANTIPOLIO INACTIVADA (VIP) PARENTERAL
<  DE 1 AÑO";;VOP <DE1 AÑO + VIP <1AÑO 3as;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;PENTA MENOR DE UN AÑO;;ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS;;ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS;;FLU DE 6 MESES A 11 MESES ;;FLU DE 6 MESES A 11 MESES ;;Neumo (2 a 11 Meses 29 Dias);;Neumo (2 a 11 Meses 29 Dias);;Población de 1 Año;SRP (T.V.) DE UN AÑO;;"VARICELA DE 1 AÑO
1a";;"HA
1 AÑO";;F.A. 1 AÑO;;Neumo de (12 meses a 23 Meses);;Neumo de (12-23 Meses);;Neumo de (12-23 Meses);Neumo de (24- 35 Meses);VOP Al año de la 3ra Dosis;;DPT Al año de la 3ra Dosis;;Población 5 años;VOP 5 AÑOS;;DPT 5 AÑOS;;SRP (T.V.) 5 AÑOS;;VARICELA DE 5 AÑOS;;FLU DE 18 A 40 AÑOS UNICA;FLU DE 41 A 59 AÑOS UNICA;Población > de 60 años;FLU DE 60 AÑOS Y MAS;;FLU Gestantes a partir de la semana 14;;TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS  ;;VPH Niñas de 9 años;;;;;
Código;DEPARTAMENTOS;Población Menor 1 año (Meta Programática);Dosis Unica;%;D. Unica;%;D. Unica;%;D. Unica;%;1ras. Dosis;%;3.Dosis;%;1ras. Dosis;%;2das. Dosis;%;3ras. Dosis;%;1ra Dosis;%;2da Dosis;%;1ra Dosis;%;2da Dosis;%;1ra Dosis;%;2da Dosis;%;(Meta Programática);U.Dósis;%;U.Dósis;%;U. Dósis;%;U.Dósis;%;REF.;%;1ra Dosis;%;2da Dosis;Dosis Unica;1er. Ref.;%;1er. Ref.;%;Meta Programática);2do. Ref.;%;2do. Ref.;%;Dosis Ref.;%;U. Dósis;%;UNICA;UNICA;  (DANE) 30%;UNICA;%;UNICA;%;U. D. C/ embarazo;%;Pob. VPH Niñas de 9 años;VPH 1a Dosis;% 1a Dosis;VPH 2a Dosis;% 2da Dosis;REGION
91;AMAZONAS; 1,611 ;1,353;84.00;962;59.70;243;15.10;1,205;74.80;1,429;88.70;1,468;91.10;1,424;88.40;1,472;91.40;1,467;91.10;1,318;81.80;1,363;84.60;1,234;76.60;951;59.00;1,426;88.50;1,477;91.70; 1,668 ;1,545;92.6;1,494;89.60;1,567;93.90;1,563;93.70;1,527;91.50;9;0.54;18;43;1,308;78.40;1,300;77.90;1,870;1,583; 84.7 ;1,582; 84.6 ;1,583; 84.7 ;585; 62.6 ;747;629;1,314;1,090;83.0;694; 43.1 ;979; 60.8 ;837;464; 55.4 ;123; 14.7 ;AMAZONIA
05;ANTIOQUIA; 74,381 ;69,840;93.90;49,485;66.50;19,744;26.50;69,229;93.10;72,306;97.20;70,732;95.10;72,362;97.30;72,006;96.80;70,752;95.10;70,558;94.90;70,612;94.90;53,755;72.30;43,606;58.60;72,634;97.70;71,754;96.50; 77,622 ;73,842;95.1;66,259;85.40;74,272;95.70;69,153;89.10;73,046;94.10;582;0.75;810;4,146;69,344;89.30;69,292;89.30;84,171;74,256; 88.2 ;74,083; 88.0 ;74,676; 88.7 ;28,722; 68.2 ;46,342;52,347;265,395;236,792;89.2;56,014; 75.3 ;60,498; 81.3 ;46,110;22,106; 47.9 ;8,762; 19.0 ;ANDINA
81;ARAUCA; 4,287 ;4,873;113.70;4,710;109.90;95;2.20;4,805;112.10;5,210;121.50;4,936;115.10;5,213;121.60;5,028;117.30;4,936;115.10;5,030;117.30;4,879;113.80;3,351;78.20;2,659;62.00;5,254;122.60;5,052;117.80; 4,492 ;4,884;108.7;4,867;108.30;4,901;109.10;4,972;110.70;4,834;107.60;47;1.05;85;163;4,493;100.00;4,490;100.00;4,811;4,325; 89.9 ;4,325; 89.9 ;4,354; 90.5 ;1,627; 67.6 ;1,645;1,156;6,900;3,772;54.7;3,139; 73.2 ;3,819; 89.1 ;2,340;1,952; 83.4 ;555; 23.7 ;LLANOS
08;ATLANTICO; 19,832 ;21,160;106.70;20,352;102.60;436;2.20;20,788;104.80;19,253;97.10;20,131;101.50;19,264;97.10;19,815;99.90;20,021;101.00;19,248;97.10;19,968;100.70;15,529;78.30;10,817;54.50;19,543;98.50;20,307;102.40; 20,382 ;20,556;100.9;20,310;99.60;20,456;100.40;20,539;100.80;20,246;99.30;257;1.26;347;433;21,173;103.90;20,328;99.70;21,021;20,355; 96.8 ;20,395; 97.0 ;20,313; 96.6 ;7,552; 71.9 ;14,283;7,363;42,083;8,961;21.3;11,419; 57.6 ;14,948; 75.4 ;9,311;2,115; 22.7 ;321; 3.4 ;CARIBE
08001;BARRANQUILLA; 20,373 ;20,833;102.30;20,483;100.50;407;2.00;20,890;102.50;20,831;102.20;19,675;96.60;20,814;102.20;20,116;98.70;19,725;96.80;20,666;101.40;20,048;98.40;18,475;90.70;12,925;63.40;21,607;106.10;20,382;100.00; 21,846 ;21,326;97.6;21,175;96.90;21,380;97.90;20,765;95.10;21,174;96.90;426;1.95;223;621;20,887;95.60;20,977;96.00;23,033;21,130; 91.7 ;21,086; 91.5 ;21,282; 92.4 ;4,714; 40.9 ;14,662;12,375;48,636;27,053;55.6;14,985; 73.6 ;16,481; 80.9 ;9,670;1,214; 12.6 ;247; 2.6 ;CARIBE
11;BOGOTA D.C.; 98,914 ;99,950;101.00;86,200;87.10;13,956;14.10;100,156;101.30;87,446;88.40;88,353;89.30;87,488;88.40;88,027;89.00;88,353;89.30;85,773;86.70;84,685;85.60;81,259;82.20;57,566;58.20;90,283;91.30;89,444;90.40; 99,134 ;91,767;92.6;93,122;93.90;93,252;94.10;80,888;81.60;87,708;88.50;4,621;4.66;3,118;11,206;82,008;82.70;82,072;82.80;104,159;97,486; 93.6 ;98,099; 94.2 ;98,596; 94.7 ;36,015; 69.2 ;110,889;95,472;329,399;277,670;84.3;70,933; 71.7 ;78,533; 79.4 ;51,129;13,153; 25.7 ;3,049; 6.0 ;ANDINA
13;BOLIVAR; 20,480 ;9,307;45.40;8,979;43.80;103;0.50;9,082;44.30;18,127;88.50;17,497;85.40;18,196;88.80;17,945;87.60;17,450;85.20;17,458;85.20;17,303;84.50;16,222;79.20;12,375;60.40;18,209;88.90;18,038;88.10; 21,034 ;18,676;88.8;18,476;87.80;18,801;89.40;17,627;83.80;18,703;88.90;193;0.92;257;328;18,284;86.90;18,296;87.00;21,859;17,539; 80.2 ;17,456; 79.9 ;17,299; 79.1 ;6,149; 56.3 ;8,959;6,648;35,365;17,191;48.6;13,634; 66.6 ;14,096; 68.8 ;9,645;1,777; 18.4 ;372; 3.9 ;CARIBE
13001;CARTAGENA; 18,494 ;18,639;100.80;18,646;100.80;44;0.20;18,690;101.10;17,942;97.00;16,568;89.60;17,943;97.00;17,260;93.30;16,575;89.60;17,452;94.40;16,940;91.60;15,264;82.50;11,265;60.90;18,124;98.00;17,444;94.30; 18,631 ;17,082;91.7;16,863;90.50;17,159;92.10;15,710;84.30;16,842;90.40;114;0.61;229;362;15,456;83.00;15,451;82.90;18,877;15,939; 84.4 ;15,859; 84.0 ;16,045; 85.0 ;5,790; 61.3 ;6,133;5,318;38,735;24,348;62.9;14,300; 77.3 ;14,430; 78.0 ;8,786;1,107; 12.6 ;196; 2.2 ;CARIBE
15;BOYACA; 13,869 ;13,225;95.40;12,339;89.00;791;5.70;13,130;94.70;13,721;98.90;13,592;98.00;13,723;98.90;13,635;98.30;13,588;98.00;13,572;97.90;13,492;97.30;11,237;81.00;9,998;72.10;13,752;99.20;13,641;98.40; 15,381 ;14,331;93.2;14,330;93.20;14,353;93.30;14,397;93.60;14,264;92.70;63;0.41;73;93;14,583;94.80;14,589;94.90;17,450;16,229; 93.0 ;16,234; 93.0 ;16,239; 93.1 ;6,694; 76.7 ;7,798;10,745;57,792;48,219;83.4;10,427; 75.2 ;11,924; 86.0 ;9,914;4,386; 44.2 ;1,820; 18.4 ;ANDINA
