Código,DEPARTAMENTOS,Población Menor 1 año (Meta Programática),BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS) Dosis Unica,%,HB RECIEN NACIDO (HASTA 29 DÍAS) D. Unica,%,ANTIPOLIO INACTIVADA (VIP) PARENTERAL<  DE 1 AÑO 1ras. Dosis,%,VOP <DE1 AÑO + VIP <1AÑO 3as 3.Dosis,%,PENTA MENOR DE UN AÑO 1ras. Dosis,%,PENTA MENOR DE UN AÑO 2das. Dosis,%,PENTA MENOR DE UN AÑO 3ras .Dosis,%,ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS 1ra Dosis,%,ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS 2da Dosis,%,FLU DE 6 MESES A 11 MESES 1ra Dosis,%,FLU DE 6 MESES A 11 MESES 2da Dosis,%,Neumo (2 a 11 Meses 29 Dias) 1ra Dosis,%,Neumo (2 a 11 Meses 29 Dias) 2da Dosis,%,Población de 1 Año (Meta Programática ),SRP (T.V.) DE UN AÑO U.Dósis,%,VARICELA DE 1 AÑO 1a U.Dósis,%,F.A. 1 AÑO U.Dósis,%,Neumo de (12 meses a 23 Meses) REF.,%,Neumo de (12-23 Meses) 1ra Dosis,%,Neumo de (12-23 Meses) 2da Dosis,Neumo de (24- 35 Meses) Dosis Unica,HA 1 AÑO U. Dósis,%,VOP Al año de la 3ra Dosis 1er. Ref.,%,DPT Al año de la 3ra Dosis 1er. Ref.,%,Población 5 años (Meta Programática),VOP 5 AÑOS 2do. Ref.,%,DPT 5 AÑOS 2do. Ref.,%,SRP (T.V.) 5 AÑOS Ref.,%,FLU de 19 a 49 años ÚNICA UNICA,FLU de 50 años y más UNICA,Gestantes a partir de la semana 14 UNICA,TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS UNICA DOSIS EN CADA EMBARAZO,%,REGION,TOTAL DOSIS
91.0,AMAZONAS,1802,1503,83.4,1368,75.9,1560,86.6,1445,80.2,1557,86.4,1513,84.0,1444,80.1,1424,79.0,1448,80.4,1419,105.0,1070,79.2,1545,85.7,1503,83.4,1845,1575,85.4,1563,84.7,1869,101.3,1547,83.8,8,0.43360433604336046,26,47,1582,85.7,1517,82.2,1517,82.2,1831,1478,80.7,1478,80.7,1468,80.2,1441,2178,847,1077,59.8,AMAZONIA,38940
5.0,ANTIOQUIA,78411,75215,95.9,74126,94.5,75821,96.7,73969,94.3,75935,96.8,75375,96.1,74329,94.8,74104,94.5,73897,94.2,56768,96.5,42336,72.0,73013,93.1,68259,87.1,79793,76176,95.5,75795,95.0,61520,77.1,69229,86.8,480,0.6015565275149449,474,1176,76361,95.7,70175,87.9,70546,88.4,85022,73860,86.9,73294,86.2,73823,86.8,34355,228344,54930,65742,83.8,ANDINA,1953685
81.0,ARAUCA,4272,4415,103.3,4331,101.4,4651,108.9,4500,105.3,4646,108.8,4615,108.0,4499,105.3,4471,104.7,4485,105.0,2922,91.2,2296,71.7,4715,110.4,4511,105.6,4430,4537,102.4,4496,101.5,5161,116.5,4418,99.7,42,0.9480812641083521,69,86,4585,103.5,4002,90.3,4001,90.3,4907,4520,92.1,4523,92.2,4522,92.2,2356,3169,2750,3628,84.9,LLANOS,108294
8.0,ATLANTICO,20672,20653,99.9,18857,91.2,19610,94.9,20551,99.4,19555,94.6,20019,96.8,20610,99.7,19345,93.6,19803,95.8,13271,85.6,7393,47.7,18180,87.9,18103,87.6,21016,21391,101.8,20701,98.5,19229,91.5,18776,89.3,141,0.670917396269509,188,382,21158,100.7,20131,95.8,20497,97.5,21547,20083,93.2,21028,97.6,20761,96.4,12536,10678,9073,12954,62.7,CARIBE,472703
8001.0,BARRANQUILLA,21907,22270,101.7,21851,99.7,21771,99.4,21238,96.9,21840,99.7,21341,97.4,21305,97.3,21570,98.5,21068,96.2,18632,113.4,12802,77.9,21952,100.2,20979,95.8,21875,21552,98.5,20833,95.2,16019,73.2,21166,96.8,107,0.48914285714285716,57,164,21560,98.6,20293,92.8,20324,92.9,22745,19112,84.0,19171,84.3,19158,84.2,3729,24640,14731,17536,80.0,CARIBE,511235
11.0,BOGOTA D.C.,105191,112338,106.8,112126,106.6,99815,94.9,100535,95.6,99870,94.9,100891,95.9,100560,95.6,98863,94.0,99995,95.1,84894,107.6,60130,76.2,100029,95.1,100161,95.2,105341,100342,95.3,99127,94.1,81932,77.8,98761,93.8,235,0.2230850286213345,409,654,100471,95.4,91104,86.5,91351,86.7,108208,93218,86.1,90629,83.8,92039,85.1,64269,329351,71240,91905,87.4,ANDINA,2675339
13.0,BOLIVAR,22708,11559,50.9,10915,48.1,17583,77.4,18024,79.4,17741,78.1,18040,79.4,18078,79.6,17068,75.2,17307,76.2,15545,91.3,10382,61.0,17105,75.3,17200,75.7,22993,18803,81.8,17860,77.7,14041,61.1,18125,78.8,128,0.5566911668768756,188,524,18918,82.3,18894,82.2,18970,82.5,22474,19305,85.9,19314,85.9,19148,85.2,10608,22827,12255,13822,60.9,CARIBE,436455
13001.0,CARTAGENA,19368,19203,99.1,19034,98.3,18169,93.8,17234,89.0,18189,93.9,17869,92.3,17222,88.9,17656,91.2,17533,90.5,14309,98.5,11362,78.2,17343,89.5,16745,86.5,19587,18020,92.0,17600,89.9,13487,68.9,16160,82.5,56,0.2859039158625619,166,208,18088,92.3,15702,80.2,15741,80.4,18768,15267,81.3,15258,81.3,15479,82.5,4708,16252,15040,15013,77.5,CARIBE,419100
15.0,BOYACA,16432,15612,95.0,15461,94.1,15677,95.4,15359,93.5,15720,95.7,15354,93.4,15370,93.5,15636,95.2,15304,93.1,14015,113.7,11921,96.7,15722,95.7,15326,93.3,16748,15724,93.9,15596,93.1,14089,84.1,15541,92.8,66,0.3940769047050394,38,68,15745,94.0,15242,91.0,15257,91.1,18801,16846,89.6,16833,89.5,16834,89.5,5604,47547,12258,13626,82.9,ANDINA,419765
17.0,CALDAS,10276,9876,96.1,9726,94.6,9719,94.6,9794,95.3,9733,94.7,9658,94.0,9779,95.2,9583,93.3,9577,93.2,8513,110.5,6639,86.1,9646,93.9,9686,94.3,10498,9863,94.0,9835,93.7,8182,77.9,9738,92.8,177,1.6860354353210136,6,8,9953,94.8,9935,94.6,9799,93.3,11346,10361,91.3,10296,90.7,10240,90.3,3419,37002,7119,8611,83.8,ANDINA,267862
