Código,DEPARTAMENTOS,Población Menor 1 año (Meta Programática),BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS) Dosis Unica,%,HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Primeras 12 Horas) D. Unica,%,HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Despues de las Primeras 12 Horas) D. Unica,%,HB RECIEN NACIDO (HASTA 29 DÍAS) (Primeras 12 Horas)+ Despues de las primeras 12 horas D. Unica,%,ANTIPOLIO INACTIVADA (VIP) PARENTERAL <  DE 1 AÑO 1ras. Dosis,%,VOP <DE1 AÑO + VIP <1AÑO 3as 3.Dosis,%,PENTA MENOR DE UN AÑO 1ras. Dosis,%,PENTA MENOR DE UN AÑO 2das. Dosis,%,PENTA MENOR DE UN AÑO 3ras. Dosis,%,ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS 1ra Dosis,%,ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS 2da Dosis,%,FLU DE 6 MESES A 11 MESES 1ra Dosis,%,FLU DE 6 MESES A 11 MESES 2da Dosis,%,Neumo (2 a 11 Meses 29 Dias) 1ra Dosis,%,Neumo (2 a 11 Meses 29 Dias) 2da Dosis,%,Población de 1 Año (Meta Programática),SRP (T.V.) DE UN AÑO U.Dósis,%,VARICELA DE 1 AÑO 1a U.Dósis,%,HA 1 AÑO U. Dósis,%,F.A. 1 AÑO U.Dósis,%,Neumo de (12 meses a 23 Meses) REF.,%,Neumo de (12-23 Meses) 1ra Dosis,%,Neumo de (12-23 Meses) 2da Dosis,Neumo de (24- 35 Meses) Dosis Unica,VOP Al año de la 3ra Dosis 1er. Ref.,%,DPT Al año de la 3ra Dosis 1er. Ref.,%,Población 5 años Meta Programática),VOP 5 AÑOS 2do. Ref.,%,DPT 5 AÑOS 2do. Ref.,%,SRP (T.V.) 5 AÑOS Dosis Ref.,%,VARICELA DE 5 AÑOS U. Dósis,%,FLU DE 18 A 40 AÑOS UNICA UNICA,FLU DE 41 A 59 AÑOS UNICA UNICA,Población > de 60 años (DANE) 30%,FLU DE 60 AÑOS Y MAS UNICA,%,FLU Gestantes a partir de la semana 14 UNICA,%,TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS U. D. C/ embarazo,%,VPH Niñas de 9 años Pob. VPH Niñas de 9 años,VPH 1a Dosis,% 1a Dosis,VPH 2a Dosis,% 2da Dosis,REGION
91,AMAZONAS, 1611 ,1353,84.00,962,59.70,243,15.10,1205,74.80,1429,88.70,1468,91.10,1424,88.40,1472,91.40,1467,91.10,1318,81.80,1363,84.60,1234,76.60,951,59.00,1426,88.50,1477,91.70, 1668 ,1545,92.6,1494,89.60,1567,93.90,1563,93.70,1527,91.50,9,0.54,18,43,1308,78.40,1300,77.90,1870,1583, 84.7 ,1582, 84.6 ,1583, 84.7 ,585, 62.6 ,747,629,1314,1090,83.0,694, 43.1 ,979, 60.8 ,837,464, 55.4 ,123, 14.7 ,AMAZONIA
05,ANTIOQUIA, 74381 ,69840,93.90,49485,66.50,19744,26.50,69229,93.10,72306,97.20,70732,95.10,72362,97.30,72006,96.80,70752,95.10,70558,94.90,70612,94.90,53755,72.30,43606,58.60,72634,97.70,71754,96.50, 77622 ,73842,95.1,66259,85.40,74272,95.70,69153,89.10,73046,94.10,582,0.75,810,4146,69344,89.30,69292,89.30,84171,74256, 88.2 ,74083, 88.0 ,74676, 88.7 ,28722, 68.2 ,46342,52347,265395,236792,89.2,56014, 75.3 ,60498, 81.3 ,46110,22106, 47.9 ,8762, 19.0 ,ANDINA
81,ARAUCA, 4287 ,4873,113.70,4710,109.90,95,2.20,4805,112.10,5210,121.50,4936,115.10,5213,121.60,5028,117.30,4936,115.10,5030,117.30,4879,113.80,3351,78.20,2659,62.00,5254,122.60,5052,117.80, 4492 ,4884,108.7,4867,108.30,4901,109.10,4972,110.70,4834,107.60,47,1.05,85,163,4493,100.00,4490,100.00,4811,4325, 89.9 ,4325, 89.9 ,4354, 90.5 ,1627, 67.6 ,1645,1156,6900,3772,54.7,3139, 73.2 ,3819, 89.1 ,2340,1952, 83.4 ,555, 23.7 ,LLANOS
08,ATLANTICO, 19832 ,21160,106.70,20352,102.60,436,2.20,20788,104.80,19253,97.10,20131,101.50,19264,97.10,19815,99.90,20021,101.00,19248,97.10,19968,100.70,15529,78.30,10817,54.50,19543,98.50,20307,102.40, 20382 ,20556,100.9,20310,99.60,20456,100.40,20539,100.80,20246,99.30,257,1.26,347,433,21173,103.90,20328,99.70,21021,20355, 96.8 ,20395, 97.0 ,20313, 96.6 ,7552, 71.9 ,14283,7363,42083,8961,21.3,11419, 57.6 ,14948, 75.4 ,9311,2115, 22.7 ,321, 3.4 ,CARIBE
08001,BARRANQUILLA, 20373 ,20833,102.30,20483,100.50,407,2.00,20890,102.50,20831,102.20,19675,96.60,20814,102.20,20116,98.70,19725,96.80,20666,101.40,20048,98.40,18475,90.70,12925,63.40,21607,106.10,20382,100.00, 21846 ,21326,97.6,21175,96.90,21380,97.90,20765,95.10,21174,96.90,426,1.95,223,621,20887,95.60,20977,96.00,23033,21130, 91.7 ,21086, 91.5 ,21282, 92.4 ,4714, 40.9 ,14662,12375,48636,27053,55.6,14985, 73.6 ,16481, 80.9 ,9670,1214, 12.6 ,247, 2.6 ,CARIBE
11,BOGOTA D.C., 98914 ,99950,101.00,86200,87.10,13956,14.10,100156,101.30,87446,88.40,88353,89.30,87488,88.40,88027,89.00,88353,89.30,85773,86.70,84685,85.60,81259,82.20,57566,58.20,90283,91.30,89444,90.40, 99134 ,91767,92.6,93122,93.90,93252,94.10,80888,81.60,87708,88.50,4621,4.66,3118,11206,82008,82.70,82072,82.80,104159,97486, 93.6 ,98099, 94.2 ,98596, 94.7 ,36015, 69.2 ,110889,95472,329399,277670,84.3,70933, 71.7 ,78533, 79.4 ,51129,13153, 25.7 ,3049, 6.0 ,ANDINA
13,BOLIVAR, 20480 ,9307,45.40,8979,43.80,103,0.50,9082,44.30,18127,88.50,17497,85.40,18196,88.80,17945,87.60,17450,85.20,17458,85.20,17303,84.50,16222,79.20,12375,60.40,18209,88.90,18038,88.10, 21034 ,18676,88.8,18476,87.80,18801,89.40,17627,83.80,18703,88.90,193,0.92,257,328,18284,86.90,18296,87.00,21859,17539, 80.2 ,17456, 79.9 ,17299, 79.1 ,6149, 56.3 ,8959,6648,35365,17191,48.6,13634, 66.6 ,14096, 68.8 ,9645,1777, 18.4 ,372, 3.9 ,CARIBE
13001,CARTAGENA, 18494 ,18639,100.80,18646,100.80,44,0.20,18690,101.10,17942,97.00,16568,89.60,17943,97.00,17260,93.30,16575,89.60,17452,94.40,16940,91.60,15264,82.50,11265,60.90,18124,98.00,17444,94.30, 18631 ,17082,91.7,16863,90.50,17159,92.10,15710,84.30,16842,90.40,114,0.61,229,362,15456,83.00,15451,82.90,18877,15939, 84.4 ,15859, 84.0 ,16045, 85.0 ,5790, 61.3 ,6133,5318,38735,24348,62.9,14300, 77.3 ,14430, 78.0 ,8786,1107, 12.6 ,196, 2.2 ,CARIBE
15,BOYACA, 13869 ,13225,95.40,12339,89.00,791,5.70,13130,94.70,13721,98.90,13592,98.00,13723,98.90,13635,98.30,13588,98.00,13572,97.90,13492,97.30,11237,81.00,9998,72.10,13752,99.20,13641,98.40, 15381 ,14331,93.2,14330,93.20,14353,93.30,14397,93.60,14264,92.70,63,0.41,73,93,14583,94.80,14589,94.90,17450,16229, 93.0 ,16234, 93.0 ,16239, 93.1 ,6694, 76.7 ,7798,10745,57792,48219,83.4,10427, 75.2 ,11924, 86.0 ,9914,4386, 44.2 ,1820, 18.4 ,ANDINA
17,CALDAS, 9282 ,8355,90.00,8286,89.30,55,0.60,8341,89.90,8470,91.30,8929,96.20,8464,91.20,8496,91.50,8933,96.20,8505,91.60,8605,92.70,8154,87.80,6974,75.10,8599,92.60,8649,93.20, 9958 ,9611,96.5,9631,96.70,9637,96.80,9339,93.80,9397,94.40,197,1.98,90,131,9393,94.30,9454,94.90,10848,10029, 92.5 ,10102, 93.1 ,10061, 92.7 ,4041, 74.5 ,3951,7627,47979,38357,79.9,7151, 77.0 ,7629, 82.2 ,6531,2491, 38.1 ,871, 13.3 ,ANDINA
